tick,mem_mb
0,753
1,964
2,964
3,964
4,978
5,982
6,982
7,980
8,996
9,996
10,990
11,990
12,726
13,726
14,726
15,730
16,730
17,847
18,852
19,852
20,867
21,875
22,879
23,989
24,989
25,1000
26,1000
27,863
28,863
29,863
30,865
31,865
32,999
33,999
34,999
35,869
36,864
37,992
38,970
39,971
40,967
41,967
42,967
43,975
44,975
45,888
46,900
47,900
48,900
49,918
50,923
51,923
52,935
53,929
54,929
55,929
56,929
57,926
58,926
59,943
60,939
61,939
62,939
63,939
64,939
65,947
66,947
67,947
68,952
69,952
70,955
71,955
72,890
73,890
74,763
75,762
76,762
77,776
78,780
79,919
80,919
81,924
82,931
83,932
84,942
85,815
86,952
87,960
88,960
89,962
90,962
91,833
92,833
93,835
94,835
95,839
96,848
97,848
98,855
99,855
100,863
101,863
102,863
103,872
104,872
105,872
106,987
107,987
108,985
109,993
110,993
111,990
112,990
113,998
114,998
115,993
116,795
117,781
118,983
119,992
120,740
121,747
122,757
123,762
124,773
125,773
126,904
127,910
128,912
129,912
130,912
131,930
132,938
133,950
134,969
135,969
136,971
