step,current_tab,predicted_top1,predicted_top3,prediction_match_top1,prediction_match_top3,prefetched,latency_ms
1,tab_16,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
2,tab_7,tab_7,"tab_7,tab_23,tab_16",1,1,1,20.0
3,tab_7,tab_23,"tab_23,tab_16,tab_24",0,0,1,20.0
4,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
5,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
6,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
7,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
8,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
9,tab_24,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
10,tab_16,tab_5,"tab_5,tab_23,tab_16",0,1,1,20.0
11,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
12,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
13,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
14,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
15,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
16,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
17,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
18,tab_23,tab_24,"tab_24,tab_7,tab_5",0,0,1,20.0
19,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
20,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
21,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
22,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
23,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
24,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
25,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
26,tab_12,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
27,tab_16,tab_7,tab_7,0,0,1,20.0
28,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
29,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
30,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
31,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
32,tab_23,tab_16,"tab_16,tab_7,tab_23",0,1,1,20.0
33,tab_16,tab_24,"tab_24,tab_7,tab_23",0,0,1,20.0
34,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
35,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
36,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
37,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
38,tab_5,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
39,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
40,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
41,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
42,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
43,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
44,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
45,tab_5,tab_7,"tab_7,tab_16,tab_24",0,0,1,20.0
46,tab_16,tab_16,"tab_16,tab_5,tab_7",1,1,1,20.0
47,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
48,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
49,tab_23,tab_24,"tab_24,tab_7,tab_5",0,0,1,20.0
50,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
51,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
52,tab_5,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
53,tab_16,tab_16,"tab_16,tab_7,tab_5",1,1,1,20.0
54,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
55,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
56,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
57,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
58,tab_16,tab_16,"tab_16,tab_7,tab_5",1,1,1,20.0
59,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
60,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
61,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
62,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
63,tab_23,tab_16,"tab_16,tab_7,tab_5",0,0,1,20.0
64,tab_19,tab_24,"tab_24,tab_7,tab_23",0,0,0,100.0
65,tab_23,tab_5,"tab_5,tab_23,tab_24",0,1,1,20.0
66,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
67,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
68,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
69,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
70,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
71,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
72,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
73,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
74,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
75,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
76,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
77,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
78,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
